EJER;CCAA;PROV;SEXO;NACIONALIDAD;MODELO;M100_1;M100_2;M100_3;M100_4;M100_5;M100_6;M100_7;M100_8;M100_9;M100_10;M100_11;M100_12;M100_13;M100_14;M100_15;M100_16;M100_17;M100_18;M100_19;M100_20;M100_21;M100_22;M100_23;M100_24;M100_25;M100_26;M100_27;M100_28;M100_29;M100_30;M100_31;M100_32;M100_33;M100_34;M100_35
2022;7;34;2;1;100;13151000,600000;6980631,030000;10445,600000;0,000000;32627,290000;27797,340000;349914,400000;234648,680000;5549,760000;164284,940000;34763,680000;7845036,500000;45442,200000;7890478,700000;7534309,500000;45354,640000;7539175,210000;8088737,500000;6091200,000000;1834900,000000;11137,500000;151500,000000;396079,280000;383607,420000;779686,700000;21303,460000;397,760000;4463,880000;38080,580000;722675,120000;-156537,380000;-301097,760000;203457,050000;1148;1091
2022;7;34;1;1;100;22974011,800000;15584145,530000;81993,880000;192,000000;34303,720000;33655,870000;1404303,610000;430061,480000;0,000000;230928,750000;48543,880000;17763511,560000;121512,890000;17885024,450000;16480165,360000;121512,890000;16575181,550000;12238625,000000;8299950,000000;3566450,000000;1725,000000;370500,000000;972371,790000;941985,830000;1914357,620000;40903,620000;1822,580000;7197,620000;77817,890000;1780289,540000;-422151,470000;-549646,360000;293094,880000;1863;1481
2022;7;34;1;0;100;1117404293,990000;935689235,690000;29127839,690000;326048,580000;12587204,820000;18847981,980000;85037204,090000;8061789,200000;13269450,820000;2652749,350000;31892602,980000;1092813364,350000;58316683,970000;1151130048,320000;1050893588,070000;58146788,570000;1107598516,640000;372476300,830000;298617150,000000;36426450,000000;282700,830000;37150000,000000;105757700,590000;102444129,340000;208201829,930000;4301296,420000;269712,560000;1238772,880000;1760220,090000;200783655,920000;4469808,920000;1457293,930000;3962913,280000;57573;47852
2022;7;34;2;0;100;737531026,940000;564248326,700000;14831530,760000;311458,660000;9671625,320000;17073497,970000;28355898,010000;5100997,570000;2306148,570000;1877107,600000;21758918,930000;637114336,150000;35171295,430000;672285631,580000;627724270,330000;35097882,680000;662389516,710000;288361708,330000;229976200,000000;32059800,000000;188708,330000;26137000,000000;58269837,440000;56446948,470000;114716785,910000;2646077,100000;17627,820000;1080444,660000;1152613,600000;109963845,200000;3906629,660000;622902,560000;4781664,640000;38973;37906
2022;9;43;2;1;100;248773470,420000;160089996,720000;2087006,650000;67154,400000;799010,360000;2811632,130000;15641985,180000;3958709,310000;97107,180000;2489643,760000;5502962,170000;186705264,100000;7435824,840000;194141088,940000;181052615,710000;7431308,120000;187698808,470000;136631725,000000;99210700,000000;30462900,000000;352625,000000;6605500,000000;14338908,360000;14955471,620000;29294379,980000;606579,480000;5198,480000;120938,080000;175205,430000;27739302,440000;1927456,040000;-653639,100000;3885715,360000;18639;17577
2022;9;43;2;0;100;3658735947,510000;2899680413,940000;77305656,580000;964884,010000;38004392,900000;78003674,310000;155148296,740000;17914883,670000;7862654,230000;10768371,090000;142993406,970000;3232311735,980000;211129078,950000;3443440814,930000;3178567905,820000;210915882,230000;3386254112,600000;1317354056,230000;997993250,000000;182430250,000000;1855056,230000;135075500,000000;319878508,210000;332341884,870000;652220393,080000;17005629,300000;73787,380000;4439257,260000;1536443,020000;629546773,080000;45882311,790000;25080712,480000;30702176,280000;172457;167289
2022;9;43;1;0;100;5470051879,190000;4691779504,030000;146023441,580000;1687534,010000;43863462,770000;80420005,500000;328241877,950000;25413803,500000;24042911,050000;10845239,630000;182261617,150000;5239507947,770000;312116605,930000;5551624553,700000;5080605771,030000;311665453,020000;5385522794,550000;1554168837,490000;1185134500,000000;193997850,000000;1878987,490000;173157500,000000;571067766,890000;592573902,010000;1163641668,900000;23948458,200000;171936,290000;4903936,660000;1402594,520000;1132897503,990000;61325943,280000;44339710,850000;24147434,520000;225570;194484
2022;9;43;1;1;100;504358438,920000;369969157,830000;3876190,200000;74736,650000;1062822,060000;3033512,120000;32512414,650000;7504584,910000;571594,300000;5252628,590000;4747078,760000;420642972,210000;8397400,520000;429040372,730000;394169735,810000;8365398,350000;401083190,660000;248682658,330000;161947900,000000;74279450,000000;352808,330000;12102500,000000;31785648,330000;33181621,250000;64967269,580000;1055624,660000;18564,260000;162756,800000;354278,260000;62818502,100000;-1026428,750000;-3900941,510000;7216932,150000;36675;28721
2022;6;39;1;0;100;4289211026,730000;3661143968,470000;192587571,990000;2565210,150000;41375237,870000;62930374,380000;278808161,650000;25781095,910000;6832212,840000;11220366,100000;136616082,770000;4125280339,280000;313365368,870000;4438645708,150000;3976655669,400000;312803703,690000;4284379011,790000;1324337954,130000;1005308250,000000;142488750,000000;1753454,130000;174787500,000000;432415645,980000;440766599,900000;873182245,880000;18837022,790000;217536,730000;4590385,000000;18887253,380000;831357765,490000;15833333,270000;3274981,720000;15736337,640000;197527;163178
2022;6;39;1;1;100;118221889,580000;89308762,040000;934615,030000;16392,620000;256809,150000;533972,070000;15864114,250000;2359138,620000;6376,430000;808021,470000;823213,090000;109429513,330000;1672088,690000;111101602,020000;104711636,230000;1662970,190000;105892642,230000;50799225,000000;37881750,000000;11076150,000000;48825,000000;1792500,000000;9396046,070000;9630315,750000;19026361,820000;280413,720000;7692,760000;66645,720000;671445,640000;17852117,040000;51895,090000;-314462,540000;586066,350000;8078;6731
2022;6;39;2;0;100;2837191738,030000;2221423581,560000;93476034,330000;1588632,060000;35999811,020000;68104024,700000;135102576,620000;17331580,160000;3410271,240000;9672081,650000;107878327,940000;2512998876,080000;190434615,190000;2703433491,270000;2475112571,240000;190221189,040000;2662506126,280000;1082224087,470000;822426250,000000;131084250,000000;1670087,470000;127043500,000000;244547966,350000;248029505,240000;492577471,590000;12162793,370000;77007,150000;4376826,540000;12827342,430000;464019055,360000;16031495,430000;5192812,300000;17307231,090000;141562;137160
2022;6;39;2;1;100;60639155,830000;35859711,910000;681376,010000;982,350000;204459,490000;469032,390000;6329355,810000;1672672,920000;21457,130000;728619,080000;1324065,320000;45445458,890000;1902862,390000;47348321,280000;43988669,060000;1896807,890000;45666773,150000;37225875,000000;27447250,000000;8194950,000000;76175,000000;1507500,000000;3401796,190000;3463446,860000;6865243,050000;124368,620000;1782,040000;41742,880000;317975,730000;6314021,040000;-46294,200000;-536668,190000;776651,950000;5148;4890
2022;5;38;1;1;100;375242333,960000;270202762,780000;12722401,870000;825568,030000;2484735,010000;13351910,190000;74570957,890000;6566792,140000;204049,370000;1619512,610000;30528944,710000;371772354,680000;42847554,950000;414619909,630000;360665840,170000;42767587,890000;400421915,490000;180552850,000000;149789550,000000;25447550,000000;233750,000000;5082000,000000;37000222,300000;36806599,160000;73806821,460000;677943,580000;4383282,100000;146128,680000;5432170,330000;62249110,780000;9874711,050000;8968510,900000;1171333,440000;28918;25755
2022;5;38;1;0;100;5052371670,490000;4088799057,630000;111976448,450000;12388534,070000;43685524,210000;127094642,440000;486246528,290000;38687633,500000;19609729,670000;13012171,980000;184988517,360000;4862948397,510000;288371521,230000;5151319918,740000;4711976568,240000;288045504,990000;4990323771,400000;1734483875,790000;1362328950,000000;197517950,000000;3031475,790000;171605500,000000;495147271,810000;490646177,510000;985793449,320000;18108159,040000;64956318,260000;4353979,400000;48878242,180000;856694823,570000;-28300871,860000;-43991446,180000;18799993,850000;263446;229038
2022;5;38;2;0;100;4286503371,240000;3299518394,590000;64048699,430000;11498126,840000;39125021,570000;136382263,520000;229408287,110000;20568963,890000;8614459,780000;10358824,540000;156495077,920000;3784152398,870000;216030994,720000;4000183393,590000;3723999618,330000;215866634,350000;3935130714,440000;1644926605,790000;1260902500,000000;230243300,000000;4111305,790000;149669500,000000;366111207,220000;359014244,000000;725125451,220000;15561365,100000;40363875,800000;5387218,380000;42927225,240000;627186786,140000;-34014751,960000;-54739541,120000;28893295,380000;222270;216216
