,EJER,CCAA,PROV,SEXO,NACIONALIDAD,MODELO,M100_1,M100_2,M100_3,M100_4,M100_5,M100_6,M100_7,M100_8,M100_9,M100_10,M100_11,M100_12,M100_13,BIT,M100_15,M100_16,M100_17,M100_18,M100_19,M100_20,M100_21,M100_22,M100_23,M100_24,M100_25,M100_26,M100_27,Deduccion_donativos,M100_29,M100_30,M100_31,M100_32,M100_33,num_declarantes,M100_35
13,2022,Castilla y León,Palencia,Hombre,Extranjero,100,22974011.8,15584145.53,81993.88,192.0,34303.72,33655.87,1404303.61,430061.48,0.0,230928.75,48543.88,17763511.56,121512.89,17885024.45,16480165.36,121512.89,16575181.55,12238625.0,8299950.0,3566450.0,1725.0,370500.0,972371.79,941985.83,1914357.62,40903.62,1822.58,7197.62,77817.89,1780289.54,-422151.47,-549646.36,293094.88,1863,1481
14,2022,Castilla y León,Palencia,Hombre,Nacional,100,1117404293.99,935689235.69,29127839.69,326048.58,12587204.82,18847981.98,85037204.09,8061789.2,13269450.82,2652749.35,31892602.98,1092813364.35,58316683.97,1151130048.32,1050893588.07,58146788.57,1107598516.64,372476300.83,298617150.0,36426450.0,282700.83,37150000.0,105757700.59,102444129.34,208201829.93,4301296.42,269712.56,1238772.88,1760220.09,200783655.92,4469808.92,1457293.93,3962913.28,57573,47852
15,2022,Castilla y León,Palencia,Mujer,Nacional,100,737531026.94,564248326.7,14831530.76,311458.66,9671625.32,17073497.97,28355898.01,5100997.57,2306148.57,1877107.6,21758918.93,637114336.15,35171295.43,672285631.58,627724270.33,35097882.68,662389516.71,288361708.33,229976200.0,32059800.0,188708.33,26137000.0,58269837.44,56446948.47,114716785.91,2646077.1,17627.82,1080444.66,1152613.6,109963845.2,3906629.66,622902.56,4781664.64,38973,37906
16,2022,Cataluña,Tarragona,Mujer,Extranjero,100,248773470.42,160089996.72,2087006.65,67154.4,799010.36,2811632.13,15641985.18,3958709.31,97107.18,2489643.76,5502962.17,186705264.1,7435824.84,194141088.94,181052615.71,7431308.12,187698808.47,136631725.0,99210700.0,30462900.0,352625.0,6605500.0,14338908.36,14955471.62,29294379.98,606579.48,5198.48,120938.08,175205.43,27739302.44,1927456.04,-653639.1,3885715.36,18639,17577
17,2022,Cataluña,Tarragona,Mujer,Nacional,100,3658735947.51,2899680413.94,77305656.58,964884.01,38004392.9,78003674.31,155148296.74,17914883.67,7862654.23,10768371.09,142993406.97,3232311735.98,211129078.95,3443440814.93,3178567905.82,210915882.23,3386254112.6,1317354056.23,997993250.0,182430250.0,1855056.23,135075500.0,319878508.21,332341884.87,652220393.08,17005629.3,73787.38,4439257.26,1536443.02,629546773.08,45882311.79,25080712.48,30702176.28,172457,167289
18,2022,Cataluña,Tarragona,Hombre,Nacional,100,5470051879.19,4691779504.03,146023441.58,1687534.01,43863462.77,80420005.5,328241877.95,25413803.5,24042911.05,10845239.63,182261617.15,5239507947.77,312116605.93,5551624553.7,5080605771.03,311665453.02,5385522794.55,1554168837.49,1185134500.0,193997850.0,1878987.49,173157500.0,571067766.89,592573902.01,1163641668.9,23948458.2,171936.29,4903936.66,1402594.52,1132897503.99,61325943.28,44339710.85,24147434.52,225570,194484
19,2022,Cataluña,Tarragona,Hombre,Extranjero,100,504358438.92,369969157.83,3876190.2,74736.65,1062822.06,3033512.12,32512414.65,7504584.91,571594.3,5252628.59,4747078.76,420642972.21,8397400.52,429040372.73,394169735.81,8365398.35,401083190.66,248682658.33,161947900.0,74279450.0,352808.33,12102500.0,31785648.33,33181621.25,64967269.58,1055624.66,18564.26,162756.8,354278.26,62818502.1,-1026428.75,-3900941.51,7216932.15,36675,28721
20,2022,Cantabria,Cantabria,Hombre,Nacional,100,4289211026.73,3661143968.47,192587571.99,2565210.15,41375237.87,62930374.38,278808161.65,25781095.91,6832212.84,11220366.1,136616082.77,4125280339.28,313365368.87,4438645708.15,3976655669.4,312803703.69,4284379011.79,1324337954.13,1005308250.0,142488750.0,1753454.13,174787500.0,432415645.98,440766599.9,873182245.88,18837022.79,217536.73,4590385.0,18887253.38,831357765.49,15833333.27,3274981.72,15736337.64,197527,163178
21,2022,Cantabria,Cantabria,Hombre,Extranjero,100,118221889.58,89308762.04,934615.03,16392.62,256809.15,533972.07,15864114.25,2359138.62,6376.43,808021.47,823213.09,109429513.33,1672088.69,111101602.02,104711636.23,1662970.19,105892642.23,50799225.0,37881750.0,11076150.0,48825.0,1792500.0,9396046.07,9630315.75,19026361.82,280413.72,7692.76,66645.72,671445.64,17852117.04,51895.09,-314462.54,586066.35,8078,6731
22,2022,Cantabria,Cantabria,Mujer,Nacional,100,2837191738.03,2221423581.56,93476034.33,1588632.06,35999811.02,68104024.7,135102576.62,17331580.16,3410271.24,9672081.65,107878327.94,2512998876.08,190434615.19,2703433491.27,2475112571.24,190221189.04,2662506126.28,1082224087.47,822426250.0,131084250.0,1670087.47,127043500.0,244547966.35,248029505.24,492577471.59,12162793.37,77007.15,4376826.54,12827342.43,464019055.36,16031495.43,5192812.3,17307231.09,141562,137160
23,2022,Cantabria,Cantabria,Mujer,Extranjero,100,60639155.83,35859711.91,681376.01,982.35,204459.49,469032.39,6329355.81,1672672.92,21457.13,728619.08,1324065.32,45445458.89,1902862.39,47348321.28,43988669.06,1896807.89,45666773.15,37225875.0,27447250.0,8194950.0,76175.0,1507500.0,3401796.19,3463446.86,6865243.05,124368.62,1782.04,41742.88,317975.73,6314021.04,-46294.2,-536668.19,776651.95,5148,4890
24,2022,Canarias,Santa Cruz de Tenerife,Hombre,Extranjero,100,375242333.96,270202762.78,12722401.87,825568.03,2484735.01,13351910.19,74570957.89,6566792.14,204049.37,1619512.61,30528944.71,371772354.68,42847554.95,414619909.63,360665840.17,42767587.89,400421915.49,180552850.0,149789550.0,25447550.0,233750.0,5082000.0,37000222.3,36806599.16,73806821.46,677943.58,4383282.1,146128.68,5432170.33,62249110.78,9874711.05,8968510.9,1171333.44,28918,25755
25,2022,Canarias,Santa Cruz de Tenerife,Hombre,Nacional,100,5052371670.49,4088799057.63,111976448.45,12388534.07,43685524.21,127094642.44,486246528.29,38687633.5,19609729.67,13012171.98,184988517.36,4862948397.51,288371521.23,5151319918.74,4711976568.24,288045504.99,4990323771.4,1734483875.79,1362328950.0,197517950.0,3031475.79,171605500.0,495147271.81,490646177.51,985793449.32,18108159.04,64956318.26,4353979.4,48878242.18,856694823.57,-28300871.86,-43991446.18,18799993.85,263446,229038
26,2022,Canarias,Santa Cruz de Tenerife,Mujer,Nacional,100,4286503371.24,3299518394.59,64048699.43,11498126.84,39125021.57,136382263.52,229408287.11,20568963.89,8614459.78,10358824.54,156495077.92,3784152398.87,216030994.72,4000183393.59,3723999618.33,215866634.35,3935130714.44,1644926605.79,1260902500.0,230243300.0,4111305.79,149669500.0,366111207.22,359014244.0,725125451.22,15561365.1,40363875.8,5387218.38,42927225.24,627186786.14,-34014751.96,-54739541.12,28893295.38,222270,216216
